Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,75.6325,-76.01125,180.0,top
C10,100nF,C_0201_0603Metric,104.5625,-85.819,-90.0,top
C11,100nF,C_0201_0603Metric,104.9625,-72.619,90.0,top
C12,100nF,C_0201_0603Metric,106.5625,-85.819,-90.0,top
C13,100nF,C_0201_0603Metric,107.7625,-72.619,90.0,top
C14,100nF,C_0201_0603Metric,107.8525,-85.819,-90.0,top
C15,15pF,C_0402_1005Metric,109.0375,-93.4665,0.0,top
C16,4.7uF,C_0603_1608Metric,110.2875,-72.80525,0.0,top
C17,4.7uF,C_0603_1608Metric,110.8625,-71.25525,0.0,top
C18,15pF,C_0402_1005Metric,111.9375,-90.9665,-90.0,top
C19,100nF,C_0201_0603Metric,113.7625,-75.594,0.0,top
C2,100nF,C_0402_1005Metric,82.87,-80.2975,180.0,top
C20,100nF,C_0201_0603Metric,113.7625,-78.844,0.0,top
C21,100nF,C_0201_0603Metric,113.7625,-79.594,0.0,top
C22,100nF,C_0201_0603Metric,113.7625,-83.109,0.0,top
C23,100nF,C_0402_1005Metric,118.91,-87.315,-90.0,top
C24,10uF,CP_EIA-3216-18_Kemet-A,133.7525,-85.2065,180.0,top
C25,100nF,C_0402_1005Metric,134.1525,-82.9315,180.0,top
C26,100nF,C_0402_1005Metric,138.3525,-82.9315,0.0,top
C27,10uF,CP_EIA-3216-18_Kemet-A,138.7525,-85.2065,0.0,top
C3,100nF,C_0402_1005Metric,94.78,-88.744,-90.0,top
C4,100nF,C_0402_1005Metric,94.78,-90.649,90.0,top
C5,100nF,C_0201_0603Metric,100.5625,-77.019,180.0,top
C6,100nF,C_0201_0603Metric,100.5625,-79.019,180.0,top
C7,100nF,C_0201_0603Metric,100.5625,-81.019,180.0,top
C8,100nF,C_0402_1005Metric,104.4125,-52.549,90.0,top
C9,100nF,C_0402_1005Metric,104.4125,-61.439,90.0,top
D1,B5819W SL,D_SOD-123,79.2225,-96.6825,-90.0,top
D2,KT-0805Y,LED_0805_2012Metric,143.3625,-52.019,270.0,top
D3,B5819W SL,D_SOD-123,143.53375,-75.79775,90.0,top
D4,NCD0805R1,LED_0805_2012Metric,146.7625,-52.019,270.0,top
D5,KT-0805G,LED_0805_2012Metric,150.1625,-52.019,270.0,top
J2,USB_C,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,147.8875,-64.614,90.0,top
L1,3.3uH,L_1008_2520Metric,110.9725,-69.05525,0.0,top
R1,3.3k,R_0402_1005Metric,75.6025,-74.5825,180.0,top
R10,1k,R_0402_1005Metric,109.0375,-88.4665,0.0,top
R11,5.1k,R_0402_1005Metric,141.77,-62.86775,180.0,top
R12,5.1k,R_0402_1005Metric,141.77,-65.864,180.0,top
R13,470,R_0603_1608Metric,143.3625,-56.219,-90.0,top
R14,470,R_0603_1608Metric,146.7625,-56.219,-90.0,top
R15,470,R_0603_1608Metric,150.1625,-56.219,-90.0,top
R2,10k,R_0402_1005Metric,76.1125,-71.5325,90.0,top
R3,4.7k,R_0402_1005Metric,76.1125,-77.8825,90.0,top
R4,10k,R_0402_1005Metric,85.8825,-89.6915,-90.0,top
R5,1k,R_0402_1005Metric,95.7325,-61.439,90.0,top
R6,10k,R_0402_1005Metric,97.2125,-52.549,-90.0,top
R7,10k,R_0402_1005Metric,97.2125,-61.439,-90.0,top
R8,27,R_0402_1005Metric,108.0125,-66.44275,-90.0,top
R9,27,R_0402_1005Metric,108.9625,-66.44275,-90.0,top
U1,MCP4922-ESL,SOIC-14_3.9x8.7mm_P1.27mm,80.875,-74.5825,90.0,top
U2,TXB0108PW,TSSOP-20_4.4x6.5mm_P0.65mm,90.3275,-89.6915,0.0,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,100.8125,-56.994,270.0,top
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,100.8125,-65.884,270.0,top
U6,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,107.1625,-79.219,0.0,top
U7,MC74LCX32DTR2G,TSSOP-14_4.4x5mm_P0.65mm,122.4325,-89.6975,180.0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,135.1025,-77.569,270.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,109.0375,-90.9665,0.0,top
